id	userid	hits	z	trials	created_at	updated_at
145	52946e67cb	2	-0.15	11	2023-05-18 12:23:59	2023-05-18 12:23:59
146	52946e67cb	2	-0.29	12	2023-05-18 12:24:14	2023-05-18 12:24:14
147	52946e67cb	4	1.36	11	2023-05-18 12:24:35	2023-05-18 12:24:35
148	52946e67cb	2	-0.29	12	2023-05-18 12:25:00	2023-05-18 12:25:00
149	52946e67cb	2	-0.42	13	2023-05-18 12:25:18	2023-05-18 12:25:18
150	52946e67cb	2	-0.15	11	2023-05-18 12:25:40	2023-05-18 12:25:40
151	52946e67cb	3	0.79	10	2023-05-18 12:25:57	2023-05-18 12:25:57
152	52946e67cb	2	0.00	10	2023-05-18 12:26:15	2023-05-18 12:26:15
153	52946e67cb	4	1.58	10	2023-05-18 12:26:30	2023-05-18 12:26:30
154	52946e67cb	2	0.00	10	2023-05-18 12:26:49	2023-05-18 12:26:49
155	52946e67cb	0	-1.58	10	2023-05-18 12:27:08	2023-05-18 12:27:08
156	52946e67cb	2	0.00	10	2023-05-18 12:27:25	2023-05-18 12:27:25
157	52946e67cb	3	0.79	10	2023-05-18 12:27:41	2023-05-18 12:27:41
158	52946e67cb	2	0.00	10	2023-05-18 12:28:01	2023-05-18 12:28:01
159	52946e67cb	0	-1.58	10	2023-05-18 12:28:16	2023-05-18 12:28:16
160	70060b0cc2	3	0.79	10	2023-05-18 19:28:27	2023-05-18 19:28:27
161	70060b0cc2	1	-0.79	10	2023-05-18 19:28:57	2023-05-18 19:28:57
162	70060b0cc2	2	0.00	10	2023-05-18 19:31:57	2023-05-18 19:31:57
163	70060b0cc2	1	-0.79	10	2023-05-18 19:53:25	2023-05-18 19:53:25
164	52946e67cb	4	1.58	10	2023-05-19 15:21:05	2023-05-19 15:21:05
165	52946e67cb	2	0.00	10	2023-05-19 15:22:50	2023-05-19 15:22:50
166	52946e67cb	0	-1.58	10	2023-05-19 15:24:45	2023-05-19 15:24:45
167	52946e67cb	2	0.00	10	2023-05-19 15:25:51	2023-05-19 15:25:51
168	52946e67cb	3	0.79	10	2023-05-19 15:27:29	2023-05-19 15:27:29
169	52946e67cb	3	0.79	10	2023-05-19 15:28:43	2023-05-19 15:28:43
170	52946e67cb	2	0.00	10	2023-05-19 15:29:40	2023-05-19 15:29:40
171	52946e67cb	4	1.58	10	2023-05-19 15:30:42	2023-05-19 15:30:42
172	52946e67cb	1	-0.79	10	2023-05-19 15:32:02	2023-05-19 15:32:02
173	52946e67cb	2	0.00	10	2023-05-19 15:32:58	2023-05-19 15:32:58
174	52946e67cb	1	-0.79	10	2023-05-19 15:33:50	2023-05-19 15:33:50
175	52946e67cb	5	2.37	10	2023-05-19 15:36:04	2023-05-19 15:36:04
176	52946e67cb	2	0.00	10	2023-05-19 15:53:05	2023-05-19 15:53:05
177	52946e67cb	2	0.00	10	2023-05-19 15:56:13	2023-05-19 15:56:13
178	52946e67cb	3	0.79	10	2023-05-19 15:58:47	2023-05-19 15:58:47
179	52946e67cb	1	-0.79	10	2023-05-19 16:01:25	2023-05-19 16:01:25
180	52946e67cb	2	0.00	10	2023-05-19 16:04:54	2023-05-19 16:04:54
181	52946e67cb	2	0.00	10	2023-05-19 16:07:15	2023-05-19 16:07:15
182	52946e67cb	3	0.79	10	2023-05-19 16:09:36	2023-05-19 16:09:36
183	52946e67cb	2	0.00	10	2023-05-19 16:13:47	2023-05-19 16:13:47
184	52946e67cb	2	0.00	10	2023-05-19 16:16:30	2023-05-19 16:16:30
185	52946e67cb	3	0.79	10	2023-05-19 16:19:51	2023-05-19 16:19:51
186	52946e67cb	3	0.79	10	2023-05-19 16:26:45	2023-05-19 16:26:45
187	52946e67cb	0	-1.58	10	2023-05-19 16:30:42	2023-05-19 16:30:42
188	52946e67cb	3	0.79	10	2023-05-19 16:33:40	2023-05-19 16:33:40
189	70060b0cc2	3	0.79	10	2023-05-19 19:33:51	2023-05-19 19:33:51
190	70060b0cc2	2	0.00	10	2023-05-19 19:34:30	2023-05-19 19:34:30
191	70060b0cc2	2	0.00	10	2023-05-19 19:35:04	2023-05-19 19:35:04
192	70060b0cc2	4	1.58	10	2023-05-19 19:35:43	2023-05-19 19:35:43
193	70060b0cc2	5	2.37	10	2023-05-19 19:36:31	2023-05-19 19:36:31
194	70060b0cc2	1	-0.79	10	2023-05-19 19:37:19	2023-05-19 19:37:19
195	70060b0cc2	3	0.79	10	2023-05-19 19:38:03	2023-05-19 19:38:03
196	70060b0cc2	2	0.00	10	2023-05-19 19:38:47	2023-05-19 19:38:47
197	fff8c30e58	5	2.37	10	2023-05-19 22:54:07	2023-05-19 22:54:07
198	fff8c30e58	2	0.00	10	2023-05-21 14:06:23	2023-05-21 14:06:23
199	fff8c30e58	2	0.00	10	2023-05-21 14:07:00	2023-05-21 14:07:00
200	fff8c30e58	2	0.00	10	2023-05-21 14:07:15	2023-05-21 14:07:15
201	fff8c30e58	1	-0.79	10	2023-05-22 13:54:33	2023-05-22 13:54:33
202	fff8c30e58	4	1.58	10	2023-05-22 13:54:45	2023-05-22 13:54:45
203	fff8c30e58	1	-0.79	10	2023-05-22 14:18:52	2023-05-22 14:18:52
204	fff8c30e58	1	-0.79	10	2023-05-22 14:19:05	2023-05-22 14:19:05
205	70060b0cc2	3	0.79	10	2023-05-22 19:51:46	2023-05-22 19:51:46
206	70060b0cc2	3	0.79	10	2023-05-22 19:52:48	2023-05-22 19:52:48
207	fff8c30e58	2	0.00	10	2023-05-23 01:27:38	2023-05-23 01:27:38
208	fff8c30e58	0	-1.58	10	2023-05-23 01:27:56	2023-05-23 01:27:56
209	fff8c30e58	2	0.00	10	2023-05-23 01:28:15	2023-05-23 01:28:15
210	fff8c30e58	3	0.79	10	2023-05-23 01:28:25	2023-05-23 01:28:25
211	fff8c30e58	2	0.00	10	2023-05-23 01:28:35	2023-05-23 01:28:35
212	fff8c30e58	2	0.00	10	2023-05-23 01:28:45	2023-05-23 01:28:45
213	fff8c30e58	4	1.58	10	2023-05-23 01:28:55	2023-05-23 01:28:55
214	fff8c30e58	3	0.79	10	2023-05-23 01:29:10	2023-05-23 01:29:10
215	fff8c30e58	1	-0.79	10	2023-05-23 01:29:25	2023-05-23 01:29:25
216	fff8c30e58	2	0.00	10	2023-05-23 01:29:38	2023-05-23 01:29:38
217	fff8c30e58	1	-0.79	10	2023-05-23 01:29:55	2023-05-23 01:29:55
218	fff8c30e58	5	2.37	10	2023-05-23 01:30:09	2023-05-23 01:30:09
219	fff8c30e58	2	0.00	10	2023-05-23 17:44:45	2023-05-23 17:44:45
220	fff8c30e58	2	0.00	10	2023-05-23 17:45:17	2023-05-23 17:45:17
221	fff8c30e58	1	-0.79	10	2023-05-23 17:45:31	2023-05-23 17:45:31
222	fff8c30e58	2	0.00	10	2023-05-23 17:45:43	2023-05-23 17:45:43
223	fff8c30e58	2	0.00	10	2023-05-23 17:45:54	2023-05-23 17:45:54
224	fff8c30e58	2	0.00	10	2023-05-23 17:46:21	2023-05-23 17:46:21
225	fff8c30e58	2	0.00	10	2023-05-23 17:46:35	2023-05-23 17:46:35
226	fff8c30e58	4	1.58	10	2023-05-23 17:46:46	2023-05-23 17:46:46
227	fff8c30e58	1	-0.79	10	2023-05-23 17:47:08	2023-05-23 17:47:08
228	fff8c30e58	3	0.79	10	2023-05-23 17:47:20	2023-05-23 17:47:20
229	fff8c30e58	2	0.00	10	2023-05-23 17:47:32	2023-05-23 17:47:32
230	fff8c30e58	2	0.00	10	2023-05-23 17:47:46	2023-05-23 17:47:46
231	fff8c30e58	1	-0.79	10	2023-05-23 17:47:55	2023-05-23 17:47:55
232	fff8c30e58	0	-1.58	10	2023-05-23 17:48:06	2023-05-23 17:48:06
