id	userid	num_correct	mega	z	trials	created_at	updated_at
97	52946e67cb	1	0	0.14	1	2023-05-18 10:42:25	2023-05-18 10:42:25
98	52946e67cb	0	0	-6.36	1	2023-05-18 10:42:38	2023-05-18 10:42:38
99	52946e67cb	0	0	-6.36	1	2023-05-18 10:42:49	2023-05-18 10:42:49
100	52946e67cb	0	0	-6.36	1	2023-05-18 12:33:31	2023-05-18 12:33:31
101	52946e67cb	0	0	-6.36	1	2023-05-18 12:33:39	2023-05-18 12:33:39
102	52946e67cb	1	0	0.14	1	2023-05-18 12:33:50	2023-05-18 12:33:50
103	52946e67cb	1	0	0.14	1	2023-05-18 12:33:59	2023-05-18 12:33:59
104	52946e67cb	0	0	-6.36	1	2023-05-18 12:34:07	2023-05-18 12:34:07
105	52946e67cb	0	0	-6.36	1	2023-05-18 12:34:24	2023-05-18 12:34:24
106	52946e67cb	0	0	-6.36	1	2023-05-18 12:34:33	2023-05-18 12:34:33
107	52946e67cb	2	0	1.40	1	2023-05-18 12:34:43	2023-05-18 12:34:43
108	fff8c30e58	1	0	0.14	1	2023-05-18 14:57:00	2023-05-18 14:57:00
109	fff8c30e58	0	0	-6.36	1	2023-05-18 14:57:18	2023-05-18 14:57:18
110	fff8c30e58	1	0	0.14	1	2023-05-18 14:57:29	2023-05-18 14:57:29
111	70060b0cc2	3	0	2.53	1	2023-05-18 19:40:12	2023-05-18 19:40:12
112	70060b0cc2	2	0	1.40	1	2023-05-18 19:40:41	2023-05-18 19:40:41
113	70060b0cc2	0	0	-6.36	1	2023-05-18 19:41:07	2023-05-18 19:41:07
114	70060b0cc2	1	0	0.14	1	2023-05-18 20:50:26	2023-05-18 20:50:26
115	70060b0cc2	1	0	0.14	1	2023-05-18 20:51:06	2023-05-18 20:51:06
116	70060b0cc2	2	0	1.40	1	2023-05-18 20:51:35	2023-05-18 20:51:35
117	52946e67cb	0	0	-6.36	1	2023-05-19 16:51:22	2023-05-19 16:51:22
118	52946e67cb	0	0	-6.36	1	2023-05-19 16:51:33	2023-05-19 16:51:33
119	52946e67cb	1	0	0.14	1	2023-05-19 16:51:52	2023-05-19 16:51:52
120	52946e67cb	2	0	1.40	1	2023-05-19 16:52:17	2023-05-19 16:52:17
121	fff8c30e58	0	0	-6.36	1	2023-05-19 22:50:40	2023-05-19 22:50:40
122	fff8c30e58	0	0	-6.36	1	2023-05-19 22:51:12	2023-05-19 22:51:12
123	fff8c30e58	0	0	-6.36	1	2023-05-21 14:10:17	2023-05-21 14:10:17
124	fff8c30e58	0	0	-6.36	1	2023-05-21 14:10:30	2023-05-21 14:10:30
125	fff8c30e58	0	0	-6.36	1	2023-05-21 14:30:26	2023-05-21 14:30:26
126	fff8c30e58	0	0	-6.36	1	2023-05-21 14:30:36	2023-05-21 14:30:36
127	fff8c30e58	2	0	1.40	1	2023-05-21 14:30:49	2023-05-21 14:30:49
128	fff8c30e58	0	1	1.75	1	2023-05-22 14:06:50	2023-05-22 14:06:50
129	fff8c30e58	0	0	-6.36	1	2023-05-23 01:30:27	2023-05-23 01:30:27
130	fff8c30e58	0	0	-6.36	1	2023-05-23 01:30:38	2023-05-23 01:30:38
131	fff8c30e58	1	0	0.14	1	2023-05-23 01:30:52	2023-05-23 01:30:52
132	fff8c30e58	0	0	-6.36	1	2023-05-23 17:50:36	2023-05-23 17:50:36
133	fff8c30e58	1	0	0.14	1	2023-05-23 17:50:50	2023-05-23 17:50:50
134	d40dfacc09	0	0	-6.36	1	2023-05-23 19:06:03	2023-05-23 19:06:03
135	d40dfacc09	0	0	-6.36	1	2023-05-23 19:06:46	2023-05-23 19:06:46
136	d40dfacc09	3	0	2.53	1	2023-05-23 19:07:13	2023-05-23 19:07:13
137	d40dfacc09	0	0	-6.36	1	2023-05-23 19:07:58	2023-05-23 19:07:58
138	77c18aa0ae	1	0	0.14	1	2023-05-23 19:24:18	2023-05-23 19:24:18
139	77c18aa0ae	1	0	0.14	1	2023-05-23 19:24:58	2023-05-23 19:24:58
140	77c18aa0ae	0	0	-6.36	1	2023-05-23 19:25:40	2023-05-23 19:25:40
141	77c18aa0ae	3	0	2.53	1	2023-05-23 19:26:40	2023-05-23 19:26:40
142	fff8c30e58	1	0	0.14	1	2023-05-23 22:16:40	2023-05-23 22:16:40
143	852c40a4c1	1	0	0.14	1	2023-05-24 00:01:47	2023-05-24 00:01:47
144	53b90b6e5f	1	0	0.14	1	2023-05-24 04:59:31	2023-05-24 04:59:31
