id	userid	hits	z	trials	created_at	updated_at
158	fff8c30e58	25	0.00	10	2023-05-31 14:37:38	2023-05-31 14:37:38
159	bdccdd5b23	23	-0.57	10	2023-05-31 18:59:04	2023-05-31 18:59:04
160	fff8c30e58	20	-1.41	10	2023-06-01 14:55:25	2023-06-01 14:55:25
161	bd86b078cc	25	0.00	10	2023-06-01 20:29:54	2023-06-01 20:29:54
162	bd86b078cc	21	-1.13	10	2023-06-01 20:40:28	2023-06-01 20:40:28
163	0dd2d9fdd1	18	-1.98	10	2023-06-01 23:53:38	2023-06-01 23:53:38
164	0dd2d9fdd1	19	-1.70	10	2023-06-01 23:54:49	2023-06-01 23:54:49
165	62b3e910b4	23	-0.57	10	2023-06-02 00:10:49	2023-06-02 00:10:49
166	d2dd8d1064	18	-1.98	10	2023-06-02 00:11:49	2023-06-02 00:11:49
167	07d6265486	24	-0.28	10	2023-06-02 00:40:27	2023-06-02 00:40:27
168	07d6265486	19	-1.70	10	2023-06-02 01:32:00	2023-06-02 01:32:00
169	2446d585aa	21	-1.13	10	2023-06-02 01:47:43	2023-06-02 01:47:43
170	2446d585aa	22	-0.85	10	2023-06-02 01:58:36	2023-06-02 01:58:36
171	2446d585aa	24	-0.28	10	2023-06-02 02:05:31	2023-06-02 02:05:31
172	2446d585aa	17	-2.26	10	2023-06-02 02:06:29	2023-06-02 02:06:29
173	2446d585aa	26	0.28	10	2023-06-02 02:07:19	2023-06-02 02:07:19
174	73edb425b7	25	0.00	10	2023-06-02 07:06:42	2023-06-02 07:06:42
175	9eb0d040ef	21	-1.13	10	2023-06-02 07:49:21	2023-06-02 07:49:21
176	9eb0d040ef	18	-1.98	10	2023-06-02 08:49:17	2023-06-02 08:49:17
177	9eb0d040ef	20	-1.41	10	2023-06-02 08:50:05	2023-06-02 08:50:05
178	9eb0d040ef	18	-1.98	10	2023-06-02 08:50:48	2023-06-02 08:50:48
179	9eb0d040ef	20	-1.41	10	2023-06-02 08:51:42	2023-06-02 08:51:42
180	9eb0d040ef	14	-3.11	10	2023-06-02 08:52:39	2023-06-02 08:52:39
181	9eb0d040ef	23	-0.57	10	2023-06-02 08:53:23	2023-06-02 08:53:23
182	9eb0d040ef	27	0.57	10	2023-06-02 11:10:25	2023-06-02 11:10:25
183	9eb0d040ef	20	-1.41	10	2023-06-02 11:11:04	2023-06-02 11:11:04
