id	userid	z	trials	created_at	updated_at
216	fff8c30e58	2.93	20	2023-05-30 13:59:44	2023-05-30 13:59:44
217	82d9256209	0.79	20	2023-05-30 18:17:32	2023-05-30 18:17:32
218	ae50750d2f	0.97	20	2023-05-30 18:38:12	2023-05-30 18:38:12
219	fff8c30e58	2.96	20	2023-05-31 14:41:46	2023-05-31 14:41:46
220	bdccdd5b23	-1.23	20	2023-05-31 19:13:11	2023-05-31 19:13:11
221	bdccdd5b23	-1.57	20	2023-05-31 19:14:04	2023-05-31 19:14:04
222	bdccdd5b23	-0.95	20	2023-05-31 19:14:45	2023-05-31 19:14:45
223	bdccdd5b23	0.95	20	2023-05-31 19:15:27	2023-05-31 19:15:27
224	2e006b735f	-0.08	20	2023-06-01 14:00:19	2023-06-01 14:00:19
225	fff8c30e58	2.64	20	2023-06-01 14:58:18	2023-06-01 14:58:18
226	6c49d1f204	1.83	20	2023-06-01 22:36:34	2023-06-01 22:36:34
227	0dd2d9fdd1	-0.55	20	2023-06-01 23:44:43	2023-06-01 23:44:43
228	0dd2d9fdd1	-0.69	20	2023-06-01 23:45:30	2023-06-01 23:45:30
229	a33cc7a134	-0.31	20	2023-06-01 23:52:47	2023-06-01 23:52:47
230	62b3e910b4	0.47	20	2023-06-01 23:55:19	2023-06-01 23:55:19
231	62b3e910b4	1.12	20	2023-06-01 23:56:44	2023-06-01 23:56:44
232	d2dd8d1064	-0.15	20	2023-06-02 00:06:45	2023-06-02 00:06:45
233	d2dd8d1064	1.04	20	2023-06-02 00:07:14	2023-06-02 00:07:14
234	a59b028548	2.60	20	2023-06-02 00:20:13	2023-06-02 00:20:13
235	d66d90b56a	0.06	20	2023-06-02 00:25:38	2023-06-02 00:25:38
236	07d6265486	-0.35	20	2023-06-02 00:42:34	2023-06-02 00:42:34
237	07d6265486	0.64	20	2023-06-02 01:34:21	2023-06-02 01:34:21
238	2446d585aa	1.46	20	2023-06-02 01:42:50	2023-06-02 01:42:50
239	b18c90c4f5	2.28	20	2023-06-02 03:54:56	2023-06-02 03:54:56
