id	userid	odds	hits	z	trials	created_at	updated_at
126	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-21 14:34:16	2023-05-21 14:34:16
127	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-21 14:34:49	2023-05-21 14:34:49
128	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-22 14:00:06	2023-05-22 14:00:06
129	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-22 14:00:41	2023-05-22 14:00:41
130	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-22 14:01:08	2023-05-22 14:01:08
131	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-22 14:01:30	2023-05-22 14:01:30
132	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-22 14:02:19	2023-05-22 14:02:19
133	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-22 14:03:54	2023-05-22 14:03:54
134	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-22 14:04:22	2023-05-22 14:04:22
135	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-22 14:04:48	2023-05-22 14:04:48
136	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-22 14:05:10	2023-05-22 14:05:10
137	fff8c30e58	0.1	7	1.68	20	2023-05-22 14:05:51	2023-05-22 14:05:51
138	fff8c30e58	0.1	7	1.68	20	2023-05-23 01:36:03	2023-05-23 01:36:03
139	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-23 01:36:35	2023-05-23 01:36:35
140	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 01:37:03	2023-05-23 01:37:03
141	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 01:37:30	2023-05-23 01:37:30
142	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-23 01:38:01	2023-05-23 01:38:01
143	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 01:38:24	2023-05-23 01:38:24
144	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 01:38:48	2023-05-23 01:38:48
145	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 01:39:08	2023-05-23 01:39:08
146	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 01:39:29	2023-05-23 01:39:29
147	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 01:39:53	2023-05-23 01:39:53
148	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-23 01:40:28	2023-05-23 01:40:28
149	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 01:41:02	2023-05-23 01:41:02
150	fff8c30e58	0.1	7	1.68	20	2023-05-23 01:41:27	2023-05-23 01:41:27
151	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 01:41:50	2023-05-23 01:41:50
152	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 01:42:35	2023-05-23 01:42:35
153	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-23 01:43:18	2023-05-23 01:43:18
154	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 01:43:50	2023-05-23 01:43:50
155	f92becb245	4.1074553824682	6	1.12	20	2023-05-23 07:33:59	2023-05-23 07:33:59
156	fff8c30e58	-0.0000000000000022204460492503	0	-2.24	20	2023-05-23 17:51:26	2023-05-23 17:51:26
157	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 17:52:04	2023-05-23 17:52:04
158	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-23 17:52:27	2023-05-23 17:52:27
