id	userid	steps	z	trials	created_at	updated_at
186	52946e67cb	30	0.00	10	2023-05-18 12:40:40	2023-05-18 12:40:40
187	52946e67cb	25	0.35	10	2023-05-18 12:41:23	2023-05-18 12:41:23
188	52946e67cb	29	0.07	10	2023-05-18 12:42:17	2023-05-18 12:42:17
189	52946e67cb	35	-0.35	10	2023-05-18 12:43:08	2023-05-18 12:43:08
190	52946e67cb	25	0.35	10	2023-05-18 12:43:48	2023-05-18 12:43:48
191	52946e67cb	31	-0.07	10	2023-05-18 12:44:39	2023-05-18 12:44:39
192	52946e67cb	29	0.07	10	2023-05-18 12:45:24	2023-05-18 12:45:24
193	52946e67cb	33	-0.21	10	2023-05-18 12:46:14	2023-05-18 12:46:14
194	52946e67cb	27	0.21	10	2023-05-18 12:47:01	2023-05-18 12:47:01
195	52946e67cb	34	-0.28	10	2023-05-18 12:47:50	2023-05-18 12:47:50
196	52946e67cb	38	-0.57	10	2023-05-18 12:48:45	2023-05-18 12:48:45
197	52946e67cb	34	-0.28	10	2023-05-18 12:49:37	2023-05-18 12:49:37
198	52946e67cb	29	0.07	10	2023-05-18 12:50:24	2023-05-18 12:50:24
199	52946e67cb	36	-0.42	10	2023-05-18 12:51:20	2023-05-18 12:51:20
200	52946e67cb	29	0.07	10	2023-05-18 12:52:07	2023-05-18 12:52:07
201	52946e67cb	21	0.64	10	2023-05-18 12:52:47	2023-05-18 12:52:47
202	52946e67cb	31	-0.07	10	2023-05-18 12:53:47	2023-05-18 12:53:47
203	52946e67cb	31	-0.07	10	2023-05-18 12:54:35	2023-05-18 12:54:35
204	52946e67cb	25	0.35	10	2023-05-18 12:55:20	2023-05-18 12:55:20
205	52946e67cb	35	-0.35	10	2023-05-18 12:56:13	2023-05-18 12:56:13
206	52946e67cb	25	0.35	10	2023-05-18 12:56:55	2023-05-18 12:56:55
207	52946e67cb	28	0.14	10	2023-05-18 12:57:44	2023-05-18 12:57:44
208	52946e67cb	32	-0.14	10	2023-05-18 12:58:35	2023-05-18 12:58:35
209	52946e67cb	27	0.21	10	2023-05-18 12:59:21	2023-05-18 12:59:21
210	52946e67cb	31	-0.07	10	2023-05-18 13:00:10	2023-05-18 13:00:10
211	52946e67cb	39	-0.64	10	2023-05-18 13:01:09	2023-05-18 13:01:09
212	52946e67cb	28	0.14	10	2023-05-18 13:01:57	2023-05-18 13:01:57
213	52946e67cb	30	0.00	10	2023-05-18 13:02:40	2023-05-18 13:02:40
214	52946e67cb	34	-0.28	10	2023-05-18 13:03:34	2023-05-18 13:03:34
215	52946e67cb	29	0.07	10	2023-05-18 13:04:17	2023-05-18 13:04:17
216	52946e67cb	31	-0.07	10	2023-05-18 13:05:05	2023-05-18 13:05:05
217	52946e67cb	25	0.35	10	2023-05-18 13:05:50	2023-05-18 13:05:50
218	52946e67cb	33	-0.21	10	2023-05-18 13:06:51	2023-05-18 13:06:51
219	52946e67cb	35	-0.35	10	2023-05-18 13:07:47	2023-05-18 13:07:47
220	52946e67cb	35	-0.35	10	2023-05-18 13:08:46	2023-05-18 13:08:46
221	52946e67cb	34	-0.28	10	2023-05-18 13:09:39	2023-05-18 13:09:39
222	52946e67cb	34	-0.28	10	2023-05-18 13:10:28	2023-05-18 13:10:28
223	52946e67cb	29	0.07	10	2023-05-18 13:11:11	2023-05-18 13:11:11
224	52946e67cb	28	0.14	10	2023-05-18 13:11:53	2023-05-18 13:11:53
225	52946e67cb	31	-0.07	10	2023-05-18 13:12:42	2023-05-18 13:12:42
226	52946e67cb	40	-0.71	10	2023-05-18 13:13:37	2023-05-18 13:13:37
227	52946e67cb	25	0.35	10	2023-05-18 13:14:32	2023-05-18 13:14:32
228	fff8c30e58	31	-0.07	10	2023-05-18 14:48:32	2023-05-18 14:48:32
229	fff8c30e58	25	0.35	10	2023-05-18 14:48:58	2023-05-18 14:48:58
230	70060b0cc2	24	0.42	10	2023-05-18 19:33:27	2023-05-18 19:33:27
231	70060b0cc2	37	-0.49	10	2023-05-18 19:34:44	2023-05-18 19:34:44
232	52946e67cb	29	0.07	10	2023-05-19 16:36:44	2023-05-19 16:36:44
233	52946e67cb	33	-0.21	10	2023-05-19 16:39:18	2023-05-19 16:39:18
234	52946e67cb	28	0.14	10	2023-05-19 16:41:49	2023-05-19 16:41:49
235	52946e67cb	27	0.21	10	2023-05-19 16:43:56	2023-05-19 16:43:56
236	52946e67cb	25	0.35	10	2023-05-19 16:46:01	2023-05-19 16:46:01
237	52946e67cb	38	-0.57	10	2023-05-19 16:48:24	2023-05-19 16:48:24
238	70060b0cc2	26	0.28	10	2023-05-19 19:40:09	2023-05-19 19:40:09
239	70060b0cc2	30	0.00	10	2023-05-19 19:41:11	2023-05-19 19:41:11
240	70060b0cc2	24	0.42	10	2023-05-19 19:42:02	2023-05-19 19:42:02
241	70060b0cc2	28	0.14	10	2023-05-19 19:43:02	2023-05-19 19:43:02
242	70060b0cc2	30	0.00	10	2023-05-19 19:44:00	2023-05-19 19:44:00
243	70060b0cc2	31	-0.07	10	2023-05-19 19:44:52	2023-05-19 19:44:52
244	70060b0cc2	22	0.57	10	2023-05-19 19:45:32	2023-05-19 19:45:32
245	70060b0cc2	26	0.28	10	2023-05-19 19:46:29	2023-05-19 19:46:29
246	70060b0cc2	35	-0.35	10	2023-05-19 19:47:25	2023-05-19 19:47:25
247	70060b0cc2	26	0.28	10	2023-05-19 19:48:12	2023-05-19 19:48:12
248	fff8c30e58	27	0.21	10	2023-05-19 22:53:25	2023-05-19 22:53:25
249	fff8c30e58	35	-0.35	10	2023-05-21 14:07:54	2023-05-21 14:07:54
250	fff8c30e58	28	0.14	10	2023-05-21 14:08:35	2023-05-21 14:08:35
251	fff8c30e58	30	0.00	10	2023-05-21 14:35:41	2023-05-21 14:35:41
252	fff8c30e58	27	0.21	10	2023-05-22 13:54:12	2023-05-22 13:54:12
253	fff8c30e58	29	0.07	10	2023-05-22 14:18:03	2023-05-22 14:18:03
254	fff8c30e58	32	-0.14	10	2023-05-22 14:18:28	2023-05-22 14:18:28
255	70060b0cc2	20	0.71	10	2023-05-22 19:53:44	2023-05-22 19:53:44
256	fff8c30e58	23	0.49	10	2023-05-23 01:34:16	2023-05-23 01:34:16
257	fff8c30e58	30	0.00	10	2023-05-23 17:57:27	2023-05-23 17:57:27
258	77c18aa0ae	28	0.14	10	2023-05-23 19:02:22	2023-05-23 19:02:22
