id	userid	score	bubble_attention_mean	bubble_attention_std	bubble_baseline_mean	bubble_baseline_std	z	trials	created_at	updated_at
201	e562fe06a4	-0.47	-0.24375599496521	0.99382956771954	0.25361340620941	1.0545355672861	-0.92	1	2023-05-24 19:31:13	2023-05-24 19:31:13
202	51f5819377	-0.67	0.21668708702852	0.64727331088732	0.67642280804917	0.68521751376437	-1.55	1	2023-05-24 20:42:28	2023-05-24 20:42:28
203	51f5819377	0.13	-0.23317236481111	1.0440460618074	-0.33370921464896	0.79840308063367	0.71	1	2023-05-24 20:43:05	2023-05-24 20:43:05
204	51f5819377	0.44	0.11015087088846	1.1262876582751	-0.43035378072094	1.2339966927107	-0.82	1	2023-05-24 20:43:41	2023-05-24 20:43:41
205	51f5819377	0.89	0.38297721197234	1.3167499994733	-0.43857742041584	0.92227744379914	-1.64	1	2023-05-24 20:44:18	2023-05-24 20:44:18
206	51f5819377	0.08	-0.077641268384549	1.2055710839584	-0.1770628536093	1.1862203203158	0.90	1	2023-05-24 20:44:55	2023-05-24 20:44:55
207	51f5819377	0.00	-0.15770840955417	0.75360311497153	-0.15985376789741	1.0875302790499	2.57	1	2023-05-24 21:35:08	2023-05-24 21:35:08
208	51f5819377	-0.11	0.07878529503623	1.0937568739881	0.2213365258252	1.2497004558219	0.62	1	2023-05-24 21:35:48	2023-05-24 21:35:48
209	76b0cf44d8	-0.88	-0.014346005307608	1.0408643952376	0.76675932703591	0.88553935601497	-1.89	1	2023-05-24 22:24:07	2023-05-24 22:24:07
210	76b0cf44d8	0.01	0.17236886228552	0.86080228058598	0.16164427609547	1.2558052818771	2.01	1	2023-05-24 23:00:00	2023-05-24 23:00:00
211	8c0e8dcf0f	-0.48	-0.53074062013015	1.438990814129	0.010680087237436	1.1200982644532	-0.69	1	2023-05-24 23:25:16	2023-05-24 23:25:16
212	8c0e8dcf0f	0.75	0.54067316266317	1.0922751380589	-0.10236170442827	0.85900138983611	-1.44	1	2023-05-24 23:25:59	2023-05-24 23:25:59
213	76b0cf44d8	-0.37	-0.31160739791379	0.97854159640724	0.16338819923777	1.2957781023315	-0.67	1	2023-05-24 23:34:17	2023-05-24 23:34:17
214	76b0cf44d8	0.21	0.36181265980131	1.1591648628034	0.16348509574924	0.92580017707575	0.25	1	2023-05-24 23:35:01	2023-05-24 23:35:01
215	76b0cf44d8	-0.24	-0.16910063783214	0.97317287881949	0.15648541694866	1.379405711802	-0.13	1	2023-05-24 23:35:57	2023-05-24 23:35:57
